order_id,logistics_cost,warehouse_cost,sla_breach_flag
50001,212,57,1
50002,98,85,0
50003,163,102,0
50004,85,74,0
50005,113,75,0
50006,253,72,1
50007,247,54,1
50008,115,56,0
50009,147,80,0
50010,223,90,1
50011,128,104,0
50012,93,57,0
50013,172,82,0
50014,87,99,0
50015,117,50,0
50016,134,118,0
50017,143,118,0
50018,105,102,0
50019,118,53,0
50020,344,74,1
50021,159,52,0
50022,387,46,1
50023,132,72,0
50024,98,72,0
50025,122,87,0
50026,287,101,1
50027,144,104,0
50028,106,81,0
50029,146,45,0
50030,86,70,0
50031,166,52,0
50032,280,80,1
50033,112,59,0
50034,179,85,0
50035,147,92,0
50036,368,119,1
50037,160,43,0
50038,109,42,0
50039,169,92,0
50040,175,108,0
50041,133,45,0
50042,162,117,0
50043,204,79,1
50044,112,95,0
50045,179,45,0
50046,152,86,0
50047,250,99,1
50048,95,57,0
50049,105,78,0
50050,83,96,0
50051,167,79,0
50052,100,107,0
50053,363,55,1
50054,178,58,0
50055,150,119,0
50056,143,40,0
50057,121,112,0
50058,89,79,0
50059,265,118,1
50060,165,108,0
50061,152,49,0
50062,164,48,0
50063,144,117,0
50064,97,58,0
50065,119,47,0
50066,220,40,1
50067,86,74,0
50068,142,68,0
50069,263,101,1
50070,224,77,1
50071,271,92,1
50072,81,71,0
50073,95,52,0
50074,399,77,1
50075,83,76,0
50076,155,114,0
50077,328,45,1
50078,113,52,0
50079,117,48,0
50080,140,119,0
50081,166,61,0
50082,272,118,1
50083,172,112,0
50084,118,66,0
50085,216,76,1
50086,129,54,0
50087,105,61,0
50088,122,115,0
50089,259,110,1
50090,142,66,0
50091,385,114,1
50092,142,98,0
50093,95,107,0
50094,121,82,0
50095,85,102,0
50096,173,58,0
50097,287,89,1
50098,201,63,1
50099,137,40,0
50100,152,105,0
50101,351,68,1
50102,374,62,1
50103,247,76,1
50104,305,91,1
50105,278,70,1
50106,347,112,1
50107,87,110,0
50108,244,87,1
50109,128,115,0
50110,260,56,1
50111,148,73,0
50112,121,41,0
50113,85,86,0
50114,156,92,0
50115,159,79,0
50116,298,60,1
50117,158,116,0
50118,111,50,0
50119,281,43,1
50120,179,100,0
50121,138,82,0
50122,87,88,0
50123,369,51,1
50124,301,85,1
50125,210,73,1
50126,133,51,0
50127,204,87,1
50128,278,46,1
50129,146,76,0
50130,247,45,1
50131,242,102,1
50132,357,53,1
50133,233,68,1
50134,372,56,1
50135,303,62,1
50136,130,104,0
50137,95,75,0
50138,154,97,0
50139,127,101,0
50140,84,45,0
50141,129,109,0
50142,299,98,1
50143,333,71,1
50144,350,109,1
50145,108,49,0
50146,233,82,1
50147,92,91,0
50148,112,88,0
50149,362,119,1
50150,316,108,1
50151,324,42,1
50152,151,78,0
50153,178,69,0
50154,152,102,0
50155,327,67,1
50156,165,112,0
50157,297,67,1
50158,156,100,0
50159,126,52,0
50160,396,110,1
50161,259,80,1
50162,343,76,1
50163,129,88,0
50164,164,96,0
50165,399,69,1
50166,354,87,1
50167,296,56,1
50168,276,44,1
50169,138,62,0
50170,243,92,1
50171,145,114,0
50172,376,104,1
50173,90,40,0
50174,118,116,0
50175,253,41,1
50176,83,43,0
50177,217,47,1
50178,355,45,1
50179,236,49,1
50180,271,68,1
50181,104,104,0
50182,147,85,0
50183,340,79,1
50184,89,60,0
50185,140,60,0
50186,141,86,0
50187,86,71,0
50188,165,56,0
50189,278,55,1
50190,112,59,0
50191,91,95,0
50192,270,72,1
50193,105,92,0
50194,277,71,1
50195,140,62,0
50196,310,114,1
50197,88,59,0
50198,135,59,0
50199,138,78,0
50200,148,50,0
50201,106,109,0
50202,316,47,1
50203,93,88,0
50204,263,81,1
50205,171,109,0
50206,116,97,0
50207,171,50,0
50208,342,96,1
50209,208,90,1
50210,176,91,0
50211,168,80,0
50212,115,93,0
50213,133,53,0
50214,161,96,0
50215,141,91,0
50216,138,106,0
50217,178,87,0
50218,154,53,0
50219,132,70,0
50220,111,48,0
50221,100,68,0
50222,103,53,0
50223,293,67,1
50224,117,58,0
50225,106,53,0
50226,275,98,1
50227,159,84,0
50228,96,111,0
50229,121,50,0
50230,309,66,1
50231,109,55,0
50232,156,80,0
50233,105,87,0
50234,163,58,0
50235,253,75,1
50236,152,89,0
50237,123,92,0
50238,166,41,0
50239,123,48,0
50240,332,103,1
50241,300,89,1
50242,168,83,0
50243,91,76,0
50244,97,67,0
50245,124,76,0
50246,228,58,1
50247,103,116,0
50248,334,61,1
50249,261,96,1
50250,287,56,1
50251,357,51,1
50252,136,66,0
50253,82,86,0
50254,323,86,1
50255,272,91,1
50256,166,112,0
50257,138,61,0
50258,114,78,0
50259,144,95,0
50260,392,55,1
50261,277,63,1
50262,143,95,0
50263,168,99,0
50264,137,48,0
50265,149,114,0
50266,141,119,0
50267,112,96,0
50268,359,45,1
50269,310,42,1
50270,319,50,1
50271,177,111,0
50272,177,60,0
50273,109,114,0
50274,92,117,0
50275,118,109,0
50276,206,91,1
50277,144,101,0
50278,124,112,0
50279,158,110,0
50280,350,54,1
50281,374,114,1
50282,84,80,0
50283,278,80,1
50284,85,95,0
50285,303,101,1
50286,177,108,0
50287,138,77,0
50288,178,118,0
50289,80,116,0
50290,159,89,0
50291,281,117,1
50292,329,60,1
50293,110,58,0
50294,276,96,1
50295,111,102,0
50296,312,102,1
50297,174,95,0
50298,169,61,0
50299,142,55,0
50300,154,50,0
50301,179,97,0
50302,108,99,0
50303,321,48,1
50304,236,66,1
50305,121,84,0
50306,115,51,0
50307,111,45,0
50308,204,112,1
50309,346,82,1
50310,248,104,1
50311,348,110,1
50312,318,69,1
50313,170,57,0
50314,133,72,0
50315,123,40,0
50316,169,60,0
50317,176,78,0
50318,248,67,1
50319,126,82,0
50320,156,73,0
50321,321,79,1
