order_id,order_date,customer_id,product_id,region,channel,quantity,unit_price,discount_pct,revenue,cost,delivery_days,return_flag
50001,2022-07-11,123,1046,North,Online,1,2095,10,1885.5,1532.32,11,0
50002,2024-02-17,1118,1148,West,Online,4,1723,15,5858.2,4443.41,4,0
50003,2024-01-13,169,1031,East,B2B,2,2267,10,4080.6,3286.79,3,0
50004,2022-08-28,175,1100,West,Retail,4,1815,10,6534.0,4299.74,7,0
50005,2023-04-19,969,1060,West,Retail,6,3376,25,15192.0,12936.63,7,0
50006,2025-02-07,2716,1137,South,Online,6,4168,15,21256.8,19647.4,11,0
50007,2022-04-28,749,1081,North,Online,3,2967,20,7120.8,5038.94,8,0
50008,2022-04-24,2640,1079,North,Online,5,3028,15,12869.0,8810.75,5,0
50009,2021-05-27,2761,1034,East,Retail,1,2859,10,2573.1,1671.41,7,0
50010,2024-12-12,314,1062,East,Retail,7,4442,0,31094.0,22897.37,9,0
50011,2024-02-28,1686,1060,West,Retail,5,3376,25,12660.0,10743.66,5,0
50012,2024-02-16,68,1065,North,Online,4,4984,10,17942.4,14665.88,2,0
50013,2022-07-27,932,1051,South,Online,2,3631,20,5809.6,5652.06,3,0
50014,2022-09-18,1960,1089,North,Retail,6,3090,15,15759.0,13618.84,2,0
50015,2023-07-19,278,1052,South,Online,7,1327,20,7431.2,5318.19,5,0
50016,2021-01-13,1040,1070,West,Online,3,2806,5,7997.1,5490.66,3,0
50017,2023-07-03,800,1025,West,Online,4,4160,35,10816.0,10522.53,5,0
50018,2021-04-18,780,1001,East,Online,6,3210,0,19260.0,12658.29,6,0
50019,2022-05-09,2083,1016,South,B2B,3,1509,0,4527.0,3452.24,7,0
50020,2022-07-23,1475,1124,North,Online,7,4735,15,28173.25,19373.03,11,0
50021,2022-03-14,199,1006,South,Retail,4,3224,10,11606.4,10096.21,4,0
50022,2022-02-25,1587,1146,West,Online,4,3209,10,11552.4,8257.81,11,0
50023,2021-01-17,1702,1059,East,Retail,1,4367,15,3711.95,3026.63,4,0
50024,2023-02-25,2582,1080,North,Online,2,2595,15,4411.5,3958.43,5,0
50025,2023-05-04,133,1134,East,Online,5,1652,0,8260.0,4870.15,7,0
50026,2023-03-09,258,1093,South,Retail,2,1751,30,2451.4,2651.5,10,1
50027,2022-06-19,2951,1123,East,Online,4,3305,25,9915.0,8204.08,3,0
50028,2024-05-21,1894,1123,East,Retail,2,3305,10,5949.0,4959.73,2,0
50029,2022-01-06,2691,1013,North,Retail,4,3963,5,15059.4,12023.38,3,0
50030,2023-11-02,1572,1095,East,Retail,6,1513,15,7716.3,6086.99,3,0
50031,2021-10-23,2562,1068,North,Online,1,1862,5,1768.9,1081.32,7,0
50032,2022-01-03,1561,1016,East,Online,6,1509,40,5432.4,6848.96,11,1
50033,2021-03-12,1690,1023,East,Online,6,2126,25,9567.0,9157.74,5,0
50034,2025-01-26,2641,1097,West,Online,5,3430,5,16292.5,12963.57,6,0
50035,2023-04-20,1575,1096,East,Retail,7,4004,15,23823.8,19884.97,5,0
50036,2021-01-03,1666,1076,South,Online,5,2188,25,8205.0,7686.82,10,0
50037,2022-05-01,1118,1020,North,Retail,1,540,15,459.0,318.42,3,0
50038,2024-11-23,2415,1008,East,Online,6,1542,30,6476.4,6774.23,7,0
50039,2024-02-16,1056,1116,West,Online,5,2128,10,9576.0,6157.52,4,0
50040,2021-08-13,1993,1086,North,Retail,4,2664,20,8524.8,7642.12,5,0
50041,2024-10-17,1983,1028,East,Online,4,4439,15,15092.6,12158.39,4,0
50042,2024-11-20,1686,1098,South,Online,3,996,20,2390.4,2131.1,3,0
50043,2023-02-08,2809,1133,East,Retail,7,3037,10,19133.1,14697.64,11,0
50044,2021-12-15,279,1053,North,Online,7,2466,25,12946.5,9845.92,5,0
50045,2024-11-18,2004,1045,West,B2B,1,2738,25,2053.5,1692.09,3,0
50046,2022-06-18,919,1034,West,Online,6,2859,0,17154.0,13371.38,4,0
50047,2022-07-06,2746,1045,West,Retail,3,2738,35,5339.1,5859.28,10,1
50048,2021-03-02,977,1089,West,Retail,4,3090,15,10506.0,8844.86,6,0
50049,2021-11-10,579,1066,East,Online,3,3932,25,8847.0,8505.92,7,0
50050,2023-01-24,1537,1046,West,Retail,5,2095,0,10475.0,7836.69,5,0
50051,2021-05-14,1040,1043,South,Online,4,2862,25,8586.0,7470.64,6,0
50052,2022-04-17,614,1003,North,Online,6,1838,0,11028.0,6920.88,6,0
